run,skill,sub_skill,rung,standard,attempts,pass,answer_correct,single_correct,on_target_subskill,on_target_rung,age_appropriate,judge_issues,gen_issues
2,Reading,reading.inference,3,3,3,false,,,,,,"","no valid item produced"
2,Reading,reading.inference,4,3,1,true,true,true,true,true,true,"",""
2,Reading,reading.sequencing,1,3,3,true,true,true,true,true,true,"","No options are provided for the question, so it cannot be answered as a multiple-choice item. | The correct answer is given as 'First, Next, Last' but since there are no options, the answer cannot be verified. | The item does test sequencing events, but the format and lack of options make it unsuitable as a quiz item for Standard 3 children. | open item must not have options | No marked correct answer provided | No options provided | The item does not have a clear question format with selectable answers | It is not a multiple-choice question, so it does not fit typical quiz item format | The item tests sequencing but lacks a proper answer key or options for a quiz format"
2,Reading,reading.sequencing,3,3,0,false,,,,,,"","item.answer.trim is not a function"
2,Reading,reading.sequencing,4,3,2,true,true,true,true,true,true,"","The marked correct answer is actually wrong: the event that happens right after 'rode her bicycle' in the original sequence is none, since it is the last event. | More than one option could be correct or none is correct: starting from 'rode her bicycle' and continuing the story in order would logically loop back to the first event, but this is not clearly stated and can confuse children. | The explanation incorrectly states the original order of events, which contradicts the question's list. | The question is confusing and does not clearly test 'Sequencing Events' as it involves circular sequencing which is inappropriate for Standard 3 children."
2,Writing,writing.mechanics,1,3,3,false,,,,,,"","no valid item produced"
2,Writing,writing.mechanics,3,3,3,false,,,,,,"","no valid item produced"
2,Writing,writing.mechanics,4,3,3,false,,,,,,"","no valid item produced"
2,Writing,writing.sentence_combining,1,3,2,true,true,true,true,true,true,"","open item must not have options | No options provided for the question, so the correct answer cannot be verified. | The item does not have a marked correct answer field. | The format 'punctuation_fix' is inappropriate for a sentence combining task. | The question does test sentence combining, but the lack of options and correct answer makes it invalid as a quiz item."
2,Writing,writing.sentence_combining,3,3,3,false,,,,,,"","no valid item produced"
2,Writing,writing.sentence_combining,4,3,2,true,true,true,true,true,true,"","open item must include a model answer | open item must not have options | No correct answer is provided (correct_answer is null). | There are no options given to select from. | The item does not have a marked correct answer, so it cannot be verified. | The item is a guided composition task rather than a multiple-choice question, which may not fit the expected quiz format."
2,Writing,writing.spelling,1,3,1,true,true,true,true,true,true,"",""
2,Writing,writing.spelling,3,3,3,false,,,,,,"","no valid item produced"
2,Writing,writing.spelling,4,3,3,false,,,,,,"","no valid item produced"
3,Vocabulary,vocab.food_drink,1,3,1,true,true,true,true,true,true,"",""
3,Vocabulary,vocab.food_drink,3,3,0,false,,,,,,"","item.answer.trim is not a function"
3,Vocabulary,vocab.food_drink,4,3,3,false,,,,,,"","no valid item produced"
3,Vocabulary,vocab.animals_nature,1,3,1,true,true,true,true,true,true,"",""
3,Vocabulary,vocab.animals_nature,3,3,3,false,,,,,,"","no valid item produced"
3,Vocabulary,vocab.animals_nature,4,3,3,false,,,,,,"","no valid item produced"
3,Vocabulary,vocab.feelings,1,3,1,true,true,true,true,true,true,"",""
3,Vocabulary,vocab.feelings,3,3,3,false,,,,,,"","no valid item produced"
3,Vocabulary,vocab.feelings,4,3,3,false,,,,,,"","no valid item produced"
3,Grammar,grammar.past_tense,1,3,1,true,true,true,true,true,true,"",""
3,Grammar,grammar.past_tense,3,3,3,true,true,true,true,true,true,"","open item must not have options | No options provided for the question | Correct answer is not marked in the 'correct_answer' field | The item format requires options and a marked correct answer | The item does test past tense and is appropriate for Standard 3, but the missing options and correct answer field cause failure | open item must not have options"
3,Grammar,grammar.past_tense,4,3,3,false,,,,,,"","no valid item produced"
3,Grammar,grammar.articles,1,3,3,true,true,true,true,true,true,"","open item must not have options | No options provided for the question, so it cannot be answered or checked for correctness. | No marked correct answer in the options. | The item does test articles but lacks a proper multiple-choice format expected for a quiz item. | The format is 'worked_example' with no options, which is not appropriate for a Standard 3 quiz item expecting selection from options. | open item must not have options | The marked correct answer for sentence 2 is 'a', but it should be 'the' because the ball has already been introduced in sentence 1. | More than one option could be correct for sentence 2 if considering the context, but the intended correct answer is 'the', so the current answer is incorrect. | The item tests articles (a/an/the), which is correct. | The item is appropriate for a Standard 3 child."
3,Grammar,grammar.articles,3,3,2,true,true,true,true,true,true,"","open item must not have options"
3,Grammar,grammar.articles,4,3,2,true,true,true,true,true,true,"","open item must not have options"
3,Grammar,grammar.sva,1,3,3,false,,,,,,"","no valid item produced"
3,Grammar,grammar.sva,3,3,3,false,,,,,,"","no valid item produced"
3,Grammar,grammar.sva,4,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.literal,1,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.literal,3,3,0,false,,,,,,"","item.answer.trim is not a function"
3,Reading,reading.literal,4,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.inference,1,3,2,true,true,true,true,true,true,"","open item must not have options | No options provided for the question. | No correct answer marked. | The item does not have multiple choice options, so it cannot be properly assessed for correctness or multiple correct answers. | The format 'vocab_preview' is inappropriate for an inference question requiring reasoning. | The item is not suitable as a quiz question without answer options and a marked correct answer."
3,Reading,reading.inference,3,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.inference,4,3,1,true,true,true,true,true,true,"",""
3,Reading,reading.sequencing,1,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.sequencing,3,3,3,false,,,,,,"","no valid item produced"
3,Reading,reading.sequencing,4,3,1,true,true,true,true,true,true,"",""
3,Writing,writing.mechanics,1,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.mechanics,3,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.mechanics,4,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.sentence_combining,1,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.sentence_combining,3,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.sentence_combining,4,3,2,true,true,true,true,true,true,"","open item must include a model answer | No correct answer is provided, so it cannot be verified if the marked correct answer is correct. | The item does not provide any options or a marked correct answer, making it impossible to determine correctness. | The item is a guided composition task rather than a multiple-choice question with options, which is inconsistent with typical quiz format requiring a marked correct answer. | Although the task tests sentence combining, the lack of a correct answer and options means it fails the criteria for this quiz format."
3,Writing,writing.spelling,1,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.spelling,3,3,3,false,,,,,,"","no valid item produced"
3,Writing,writing.spelling,4,3,3,true,true,true,true,true,true,"","The item does not have options or a marked correct answer, so it cannot be evaluated for correctness or multiple correct answers. | The item is a guided composition task rather than a traditional quiz item with selectable answers, which may not fit the expected quiz format. | The item tests spelling within a writing task, but it is not a direct spelling test (e.g., selecting or writing the correct spelling of individual words). | The item may be appropriate for Standard 3, but the lack of a clear question format and answer options makes it unsuitable as a quiz item. | open item must include a model answer | open item must not have options | The item does not have a marked correct answer, so correctness cannot be verified. | There are no options or a fixed correct answer, making it impossible to determine if more than one option could be correct or none is. | The item is a guided composition task rather than a traditional spelling test with selectable answers, which may not align with standard spelling quiz formats. | The item may be appropriate for Standard 3, but due to the lack of a marked correct answer and options, it fails on other criteria."
